"inventory_ids","epmc_query_ids"
"22080563","22080563"
"30329086","30329086"
"24265220","24265220"
"33306801","33306801"
"30367574","30367574"
"28453651","28453651"
"25392415","25392415"
"23486013","23486013"
"31598703","31598703"
"26074488","26074488"
"33010176","33010176"
"26690544","26690544"
"28473704","28473704"
"25270878","25270878"
"30329142","30329142"
"30329095","30329095"
"27832200","27832200"
"31701131","31701131"
"21718534","21718534"
"34345532","34345532"
"33942873","33942873"
"26657895","26657895"
"22021380","22021380"
"27635320","27635320"
"23794735","23794735"
"28365725","28365725"
"25267795","25267795"
"31024751","31024751"
"35134148","35134148"
"25392409","25392409"
"31691819","31691819"
"23514094","23514094"
"30717315","30717315"
"25475113","25475113"
"23228284","23228284"
"29126148","29126148"
"25190456","25190456"
"30208340","30208340"
"26519468","26519468"
"28053168","28053168"
"26868054","26868054"
"23197659","23197659"
"29997612","29997612"
"30759968","30759968"
"24580755","24580755"
"27899660","27899660"
"25392417","25392417"
"26527719","26527719"
"29992323","29992323"
"24304896","24304896"
"33471060","33471060"
"23251048","23251048"
"30289549","30289549"
"33086069","33086069"
"22039163","22039163"
"25970778","25970778"
"27701074","27701074"
"24270791","24270791"
"21247929","21247929"
"32754757","32754757"
"31428785","31428785"
"23193288","23193288"
"26160459","26160459"
"23486613","23486613"
"25518738","25518738"
"22232598","22232598"
"29036719","29036719"
"22140108","22140108"
"28651548","28651548"
"23818526","23818526"
"32608479","32608479"
"23180789","23180789"
"26876982","26876982"
"23185041","23185041"
"30486838","30486838"
"33068420","33068420"
"31210271","31210271"
"24997141","24997141"
"33662628","33662628"
"23161675","23161675"
"30202990","30202990"
"31942977","31942977"
"31665454","31665454"
"22904610","22904610"
"23405067","23405067"
"22718786","22718786"
"23139595","23139595"
"24952649","24952649"
"26289427","26289427"
"34762703","34762703"
"27472917","27472917"
"22809392","22809392"
"30045691","30045691"
"23203874","23203874"
"31095607","31095607"
"30004104","30004104"
"24339831","24339831"
"32219412","32219412"
"32345360","32345360"
"34296749","34296749"
"29194536","29194536"
"26450965","26450965"
"33181824","33181824"
"27725737","27725737"
"33121433","33121433"
"29059379","29059379"
"29688375","29688375"
"32025315","32025315"
"24489955","24489955"
"33181825","33181825"
"33109630","33109630"
"24678985","24678985"
"22916227","22916227"
"26582918","26582918"
"25652745","25652745"
"23193260","23193260"
"23104377","23104377"
"30357356","30357356"
"33693668","33693668"
"25885062","25885062"
"32986829","32986829"
"25398898","25398898"
"26062809","26062809"
"23630576","23630576"
"33095860","33095860"
"33010163","33010163"
"32705130","32705130"
"30598077","30598077"
"34259866","34259866"
"32392296","32392296"
"33423696","33423696"
"22070882","22070882"
"25270877","25270877"
"30357342","30357342"
"34964846","34964846"
"22275896","22275896"
"33181822","33181822"
"26496946","26496946"
"26051695","26051695"
"24225386","24225386"
"25333826","25333826"
"25348397","25348397"
"32754758","32754758"
"22058133","22058133"
