"agency","count_all_funder_metadata_instances","count_unique_articles","count_unique_biodata_resources","list_PMIDs_for_funder"
"Fundamental Research Funds for the Central Universities",39,28,28,"32986825, 32681639, 34856391, 32754758, 32754758, 33009914, 31691822, 31691822, 35694152, 32008039, 32008039, 34954426, 34954426, 31277321, 33045729, 33045729, 33045729, 33045729, 33045729, 32510565, 30380109, 33507270, 32512182, 32367112, 31504189, 32159764, 32159764, 33219670, 33219670, 32105730, 33275967, 33137192, 31161204, 31809863, 30244175, 32709339, 33175170, 33175131, 33175131"
"Huazhong Agricultural University Scientific &amp; Technological Self-innovation Foundation",3,3,3,"32986825, 31584087, 31410488"
"Fundamental Research Funds for the Central University",2,2,2,"31584087, 32487016"
"MEXT",2,2,2,"31680137, 33211864"
"Kato Memorial Research Foundation",1,1,1,"31680137"
"JSPS",12,5,5,"31680137, 31680137, 31680137, 31680137, 31680137, 31680137, 31680137, 31680137, 29206899, 28499913, 33211864, 29216398"
"Institut Français de Bioinformatique",2,2,2,"31680137, 31624845"
"NICHD NIH HHS",54,26,22,"31680137, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 22916227, 22916227, 34482425, 26946289, 27907889, 26503254, 23340253, 24150938, 24150938, 33973408, 33973408, 33973408, 33973408, 33973408, 33973408, 32502232, 32502232, 29145608, 28490127, 28490127, 26048622, 26048622, 23125366, 23125366, 23125366, 26476456, 23110975, 23110975, 33104772, 34387941, 23730305, 30417254, 25313157, 25313157, 25313157, 29761459, 24316576, 24316576, 24163257, 24163257, 34698891"
"CNRS",3,3,3,"31680137, 31624845, 31733062"
"Japan Foundation for Applied Enzymology",1,1,1,"31680137"
"Inamori Foundation",1,1,1,"31680137"
"Sumitomo Foundation",2,2,2,"31680137, 33002111"
"Japan Science and Technology Agency",12,10,9,"31978081, 33174597, 33174597, 30295851, 30295851, 33645624, 30046160, 29668970, 33125071, 30357349, 33156332, 30321428"
"Cancer Prevention &amp; Research Institute of Texas",2,2,2,"31586392, 30203047"
"Instituto de Salud Carlos III",7,5,5,"30715274, 30715274, 32076423, 33252190, 33252190, 30357370, 34332522"
"European Project H2020",2,1,1,"30715274, 30715274"
"Federación Española de Enfermedades Raras",1,1,1,"30715274"
"the National Key R&D Program of China",1,1,1,"34556150"
"the National Key R&amp;D Program of China",1,1,1,"34556150"
"the Fundamental Research Funds for the Central Non-profit Research Institution of Chinese Academy of Forestry",1,1,1,"34556150"
"Fonds Wetenschappelijk Onderzoek (BE)",1,1,1,"28095775"
"Onderzoeksraad, KU Leuven (BE)",1,1,1,"28095775"
"Vlaams Instituut voor Biotechnologie",1,1,1,"28095775"
"Baden-W??rttemberg Stiftung",1,1,1,"34738791"
"Deutsche Forschungsgemeinschaft",16,14,14,"34738791, 29198880, 31095607, 31095607, 32459338, 34699529, 33174596, 33749993, 29913065, 34559210, 27800578, 30714194, 34656056, 34656056, 30165582, 30256983"
"Deutscher Akademischer Austauschdienst",2,2,2,"34738791, 28641017"
"Central Institute of Medicinal and Aromatic Plants",5,2,2,"30150996, 30150996, 30150996, 30150996, 33685383"
"Agencia Nacional de Promoción Científica y Tecnológica",6,3,3,"32507889, 32507889, 31713636, 31713636, 31680160, 31680160"
"Cancer Research UK",29,18,16,"32507889, 25332396, 25332396, 25270877, 23019048, 23019048, 23019048, 23019048, 23019048, 24122843, 31504189, 31504189, 26590264, 26590264, 31584092, 22544707, 22544707, 26123534, 26826444, 33237329, 33237329, 24163255, 24163255, 25414341, 29059374, 26578585, 26578585, 29858800, 31680160"
"Consejo Nacional de Investigaciones Científicas y Técnicas",3,3,3,"32507889, 34954795, 31680160"
"Swiss National Science Foundation",71,36,30,"32449934, 32449934, 32449934, 33037820, 33037820, 33037820, 33037820, 33037820, 33037820, 33037820, 26527719, 31665454, 31665454, 31665454, 31665454, 31665454, 31665454, 31665454, 31665454, 30357342, 30357342, 30357342, 30357342, 26582924, 27504778, 27504778, 27504778, 31353404, 31353404, 33156326, 22096233, 22096233, 28086860, 28086860, 31617559, 31617559, 31617559, 24225318, 24225318, 24225318, 27899579, 26578555, 23180783, 28985418, 23193254, 32117874, 31410491, 31410491, 28053161, 27899580, 33270111, 24270792, 24270792, 23193273, 33196836, 33196836, 33196836, 24234447, 33180112, 33174605, 33174605, 27899657, 30664776, 23180791, 30418610, 30418610, 25378343, 30395283, 30395283, 25428351, 25428351"
"Chan Zuckerberg Initiative",1,1,1,"32449934"
"EPFL",1,1,1,"32449934"
"Precision Health &amp; related Technologies",1,1,1,"32449934"
"Shanghai Sailing Program",3,3,3,"31665428, 33125077, 33306787"
"Chinese National Precise Medical Research key project",1,1,1,"31665428"
"Shanghai Health and Family Planning Commission",4,2,2,"31665428, 31665428, 32941628, 32941628"
"Shanghai Municipal Education Commission",3,3,3,"31665428, 32941628, 31809863"
"Natural Science Foundation of Shanghai Municipal Commission of Health and Family Planning",1,1,1,"31665428"
"Shanghai Natural Science Foundation",2,2,2,"31665428, 28187703"
"Shanghai Science and Technology Innovation",2,2,2,"31665428, 32941628"
"Hubei Province Natural Science Foundation",1,1,1,"34839012"
"Central Universities in China",2,2,2,"32294195, 33313674"
"National Key Research and Development Program",20,13,13,"32294195, 33009914, 34097004, 34097004, 31691822, 31691822, 29961817, 29961817, 32159764, 31584086, 31640808, 32620074, 31021279, 33175170, 32406920, 33196801, 33196801, 33196801, 33196801, 33196801"
"Priority Academic Program Development of Jiangsu Higher Education Institutions",3,3,3,"29321052, 29992323, 31603498"
"NIDCD NIH HHS",10,3,3,"27193158, 27193158, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 26323714, 26323714"
"Tufts University",2,1,1,"27193158, 27193158"
"National Key R&amp;D Program of China Grant",1,1,1,"31843802"
"Program for Guangdong Introducing Innovative and Entrepreneurial Teams",4,4,4,"31843802, 34907423, 33406221, 33021671"
"Shenzhen Sci-Tech Fund",1,1,1,"31843802"
"Comisión Nacional de Investigación Científica y Tecnológica",1,1,1,"31535335"
"Natural Science Foundation",3,3,3,"33125076, 32193291, 33219685"
"Natural Science Foundation of Shaanxi Province",1,1,1,"30239683"
"Zhejiang Provincial Natural Science Foundation of China",3,3,3,"32681639, 34085038, 33287903"
"WeiJian Special Foundation, Zhejiang University School of Public Health",1,1,1,"32681639"
"National Institute of Plant Genome Research, India",1,1,1,"30624648"
"Beihang University &amp; Capital Medical University Plan",2,1,1,"33219693, 33219693"
"Shanghai Municipal Science and Technology",3,3,3,"33219693, 31647096, 33084874"
"National Human Genome Research Institute",57,25,22,"30534948, 30534948, 30534948, 30486838, 32227657, 30357393, 34859531, 34859531, 34859531, 32345346, 34154643, 32386298, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33206959, 34387941, 31642470, 33261662, 33221922, 33221922, 33221922, 33221922, 33221922, 33436076, 33436076, 31713622, 30304474, 33237286, 30395331, 30395331, 30395331, 30395331, 30395331, 30395331, 30395331, 30395331, 30395331, 30395331, 33211869, 31691826, 31691826, 30395287, 30395287, 33231642, 33231642, 31598706, 34741192"
"National Institutes of Health BD2K",1,1,1,"30534948"
"Autism Speaks",6,1,1,"23774715, 23774715, 23774715, 23774715, 23774715, 23774715"
"NINDS NIH HHS",43,20,16,"23774715, 23774715, 23774715, 23203874, 24991954, 24700709, 24700709, 24700709, 24700709, 24700709, 24700709, 24700709, 24700709, 24700709, 21249531, 25166490, 29145608, 29145608, 25953081, 25542617, 25542617, 25542617, 25542617, 21821666, 26048622, 26048622, 26048622, 26048622, 26048622, 26048622, 26323714, 31171447, 31171447, 31171447, 31171447, 25392405, 23226127, 26590263, 26919060, 23203872, 23203872, 26311606, 24270788"
"Department of Biotechnology, Ministry of Science and Technology, National Bioscience Award project&lt;Q4/&gt;",1,1,1,"30669929"
"Council of Scientific and Industrial Research (CSIR) 12th Plan Network project Genesis",1,1,1,"30669929"
"Ministry of Science, Research and the Arts of the State of Baden-Württemberg",1,1,1,"33176685"
"Projekt DEAL",2,2,2,"33176685, 33423696"
"National Key Research and Development Plan Program",2,2,2,"30215764, 30329095"
"Natural Sciences and Engineering Research Council of Canada",13,12,12,"30893420, 33735471, 31016417, 31016417, 33599246, 27863956, 31825307, 33363449, 26251998, 29377907, 33206959, 33305318, 31701148"
"Canadian Institutes of Health Research",39,32,29,"22135301, 31095607, 26048563, 33382035, 31016417, 24203711, 23109553, 22613085, 27863956, 27863956, 27863956, 23180781, 24203342, 21492431, 29206899, 31825307, 31825307, 31825307, 23203867, 31724725, 22009677, 22009677, 26251998, 26578582, 24203708, 32442307, 25332401, 28158179, 22102575, 22102575, 22064855, 31665441, 24174537, 26481353, 26531826, 33313828, 23650175, 31701148, 31701148"
"Nanyang Technological University - Jurong Campus",1,1,1,"34838806"
"Federal Ministry of Education and Research",8,6,6,"30272193, 32976589, 23607573, 23607573, 32976578, 31665479, 31665479, 30256983"
"European Research council",2,1,1,"30272193, 30272193"
"European Research Council",53,40,36,"30272193, 30272193, 28453651, 23486613, 31066443, 31066443, 33084904, 30357379, 26582924, 27664130, 25352549, 28245064, 28245064, 34485385, 34485385, 30967549, 24253300, 24194598, 24150937, 24150937, 32618424, 32618424, 22096233, 25378328, 28182744, 28182744, 24275491, 24198250, 26586809, 26467481, 28832569, 26339475, 31171447, 31171447, 28985418, 28985418, 33045721, 31504823, 31504823, 24082050, 31647096, 33206959, 33206959, 24297252, 30496475, 28053165, 28053165, 28053165, 29155946, 24234451, 26582926, 30664776, 30395289"
"German Research Foundation",3,3,3,"30272193, 32766702, 33051671"
"Australian Grain Research and Development Corporation",1,1,1,"33247932"
"National Key R&amp;D Program of China",41,24,24,"31665503, 34345532, 34345532, 31603498, 30380071, 30380071, 30380071, 31811943, 31811943, 31811943, 31811943, 31811943, 32858223, 30371881, 32512182, 32193291, 31665439, 32122231, 30445567, 29743053, 29982280, 29982280, 31642469, 31642469, 31642469, 31642469, 31642469, 30380102, 30010730, 31799597, 33181826, 30546860, 31670377, 31670377, 30407568, 30407568, 30371818, 33704069, 33704069, 33704069, 33704069"
"Science and Technology Program of Guangzhou",6,3,3,"31665503, 31665503, 31524396, 30380102, 30380102, 30380102"
"Guangdong Natural Science Foundation",1,1,1,"31665503"
"Guangdong Introducing Innovative and Entrepreneurial Teams",3,3,3,"31665503, 32496513, 30380102"
"Alzheimer's Society",1,1,1,"24077841"
"H2020 Marie Sklodowska-Curie Actions",1,1,1,"32786900"
"Generalitat de Catalunya",5,5,5,"32786900, 33942873, 21491493, 30335169, 31608375"
"Centre for Industrial Technological Development",1,1,1,"32786900"
"Fundaci?n Bot?n",1,1,1,"32786900"
"Instituto Nacional de Bioinform?tica",1,1,1,"32786900"
"Ministerio de Ciencia e Innovaci?n",1,1,1,"32786900"
"Key-Area Research and Development Program of Guangdong Province",1,1,1,"34736471"
"Science, Technology and Innovation Commission of Shenzhen Municipality",3,2,2,"34736471, 31373607, 31373607"
"Guangdong Provincial Key Laboratory of Genome Read and Write",2,2,2,"34736471, 32705130"
"Stiftung für Pathobiochemie und Molekulare Diagnostik",1,1,1,"34736471"
"Shenzhen Municipal Government of China",2,2,2,"34736471, 31373607"
"Swiss Institute of Bioinformatics",3,3,3,"33037820, 33174605, 30476243"
"Horizon 2020",41,24,23,"33037820, 32976589, 31713636, 34220930, 34220930, 34220930, 33166383, 30357370, 35559777, 32986834, 33647438, 30321422, 33211851, 33211851, 33211851, 33211851, 33211851, 31647096, 31696235, 31696235, 33270898, 33237329, 33305318, 33305318, 30357350, 30395289, 33211869, 30418610, 31680160, 31680160, 30395270, 31691826, 31722421, 31722421, 31722421, 31722421, 31722421, 31722421, 31722421, 31722421, 31722421"
"NIH",57,25,25,"33037820, 29985970, 29985970, 26855883, 33995899, 26019122, 26019122, 26019122, 26019122, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 33897975, 29028885, 32502232, 32502232, 32502232, 32502232, 31197322, 32436932, 32436932, 29206899, 29186335, 31584092, 31584092, 34514416, 31171447, 29092939, 29092939, 29092939, 29092939, 29092939, 29092939, 29092939, 29092939, 30052772, 30052772, 33021634, 34387941, 31722416, 33313778, 28891124, 27450113, 33211869"
"Canton de Vaud",1,1,1,"33037820"
"Intramural NIH HHS",68,62,46,"22084196, 22139929, 23203889, 23197659, 33086069, 33086069, 33086069, 33086069, 33086069, 33086069, 24016071, 24016071, 28383342, 26582918, 23193260, 25428365, 26438539, 24297256, 23193291, 25010047, 23193258, 25982314, 23193275, 22139925, 24558441, 22102591, 31600197, 21873645, 25220766, 22139910, 23093593, 26048622, 31103066, 22102570, 23044550, 23284744, 32027495, 24304891, 25392405, 23180778, 22080546, 21177655, 23696674, 34366563, 25428361, 25414350, 24319143, 22140110, 25352543, 24259432, 25414356, 27008011, 26302176, 23203872, 26657633, 30774152, 24931982, 23193287, 22135289, 24198245, 26553804, 29927072, 26400175, 31851420, 23180798, 24316578, 25510495, 22121212"
"The Council of Scientific and Industrial Research, India",1,1,1,"34897852"
"National Beef Cattle and Yak Industrial Technology System, China",1,1,1,"32540200"
"National Thousand Youth Talents Plan, China",1,1,1,"32540200"
"Danish National Research Foundation",2,2,2,"33010170, 33152079"
"Novo Nordisk Foundation",12,8,7,"33010170, 33010170, 31612915, 31612915, 33156327, 33270898, 30395294, 30395294, 33152079, 33152079, 30418610, 33237311"
"Graduate School for Experimental Plant Sciences",3,3,3,"33010170, 31612915, 33152079"
"NCATS NIH HHS",48,30,28,"25378330, 25378330, 25378330, 25516260, 25516260, 25190456, 25190456, 23893318, 23630576, 23630576, 23630576, 25951377, 25951377, 23197658, 23197658, 23172289, 30371892, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 30951672, 31509535, 31701147, 27069559, 34349127, 34349127, 33361798, 33245774, 25102069, 27026615, 27026615, 27643925, 24223973, 24223973, 33156327, 33035346, 26578587, 26590263, 33151287, 25388151, 27899567, 25378335, 23161678, 30395287"
"The Danish Ministry of Higher Education and Science",1,1,1,"31405382"
"Villum Fonden",6,6,6,"31405382, 26062809, 32665542, 32976589, 27504778, 28182744"
"ELIXIR-EXCELERATE under the European Union&apos;s Horizon 2020 research and innovation programme",1,1,1,"31405382"
"Novo Nordisk Foundation Center for Protein Research",20,18,11,"31405382, 25484339, 25484339, 22058129, 28077569, 23203871, 33156327, 29617745, 29036351, 29036351, 33151287, 24297252, 24293645, 25352553, 26582926, 26590256, 27924014, 30418610, 30476243, 33237311"
"Department of Biotechnology",5,4,4,"28875065, 29939244, 33459764, 33459764, 32829394"
"DST-INSPIRE Fellowship",1,1,1,"28875065"
"Engineering and Physical Sciences Research Council",21,11,11,"27246819, 27899646, 30418645, 30418645, 30418645, 30418645, 30418645, 30418645, 31584092, 24214988, 24214988, 25414345, 25414345, 29316788, 29316788, 29316788, 24214965, 34655133, 34655133, 30395294, 31740968"
"Korean Government",4,1,1,"31599923, 31599923, 31599923, 31599923"
"National Research Foundation of Korea",16,9,9,"31599923, 26272709, 30418591, 30418591, 30418591, 33137185, 33137185, 33137185, 23219992, 30733462, 30602089, 30602089, 31680157, 31680157, 29156309, 29156309"
"Infinitus Co. Ltd",1,1,1,"29529902"
"NIEHS NIH HHS",34,16,10,"31133849, 29985970, 23630576, 24101916, 28557712, 25953081, 33361798, 24288368, 22171328, 23093600, 23093600, 23093600, 23093600, 25326323, 25326323, 25326323, 25326323, 25326323, 27651457, 27651457, 27651457, 29846728, 29846728, 29846728, 30247620, 30247620, 30247620, 33068428, 33068428, 33068428, 29351546, 29351546, 29351546, 29351546"
"Natural Environment Research Council",19,12,12,"26820405, 26820405, 33167031, 25189782, 21707958, 21707958, 29897419, 33084905, 25740460, 25740460, 23193267, 25558364, 25558364, 25558364, 30094004, 30094004, 30094004, 25025376, 26578574"
"the National High Technology Research and Development Program of China",1,1,1,"27623959"
"Chongqing Graduate Student Research Innovation Project",1,1,1,"27623959"
"the National Natural Science Foundation of China",10,5,5,"27623959, 34964846, 32183712, 29743053, 29743053, 29743053, 29743053, 29743053, 29743053, 34154536"
"Division of Environmental Biology",3,1,1,"28365726, 28365726, 28365726"
"Zhejiang Provincial Key Research Project",1,1,1,"33399824"
"Jiangsu Collaborative Innovation Centre for Modern Crop Production",1,1,1,"33399824"
"Department of Science and Technology",5,4,4,"31958638, 31958638, 32337573, 28498885, 33892308"
"National Postdoctoral Fellowship",1,1,1,"31958638"
"Council of Scientific and Industrial Research",17,13,13,"31958638, 27832200, 27832200, 27472917, 32219412, 32090260, 29129553, 30858555, 28854643, 28854643, 28854643, 30349509, 31796964, 30307523, 29432422, 29432422, 33112702"
"Science and Engineering Research Board",8,8,8,"31958638, 27832200, 34791106, 34793786, 32090260, 35424258, 28961249, 33112702"
"Ministry of Human Resource Development",1,1,1,"31958638"
"NIMHD NIH HHS",5,3,3,"24994456, 24994456, 25190456, 25378335, 25378335"
"British Neuropathological Society",1,1,1,"34528715"
"Medical Research Council Canada",1,1,1,"34528715"
"Brain Tumour Research",1,1,1,"34528715"
"National Key Plan for Scientific Research and Development of China",3,3,3,"29985970, 31774482, 32349124"
"Innovation-Driven Project of Central South University",2,1,1,"29985970, 29985970"
"Scottish Funding Council",2,1,1,"26794641, 26794641"
"DBT/Wellcome Trust India Alliance",1,1,1,"26586806"
"Wellcome Trust",267,152,100,"26586806, 29126148, 29126148, 29126148, 23486613, 22718786, 25270877, 25270877, 25355519, 25355519, 23868908, 23868908, 24319146, 23074185, 22962312, 23193291, 25505093, 25505093, 28299908, 30008982, 30008982, 30008982, 22080548, 32726198, 32726198, 32726198, 34493866, 34493866, 23175615, 25378340, 30357393, 30357393, 22912585, 22912585, 22139938, 22116062, 22116062, 22116062, 22116062, 23161689, 25348407, 26342919, 23193293, 27976751, 27976751, 27976751, 27976751, 27733501, 27733501, 26578596, 22923302, 29040670, 27638885, 27638885, 27638885, 23667450, 23667450, 23998809, 30418645, 23935057, 21856757, 22080565, 25172923, 25172923, 24297257, 24229347, 24229347, 25399418, 26476444, 26476444, 31584092, 31584092, 31584092, 28748223, 28748223, 23674503, 25593348, 25361970, 25361970, 24304897, 22363733, 31598690, 31598690, 33416848, 24504151, 24504151, 24504151, 24504151, 24504151, 23203869, 30481257, 26582922, 26582922, 26582922, 26582922, 26249811, 26249811, 28985418, 26123534, 33095862, 24194607, 24194607, 24194607, 25300491, 25300491, 25300491, 25300491, 25300491, 25300491, 30601939, 30601939, 30398663, 30398663, 30398663, 25348409, 24318814, 22080546, 24194600, 33211879, 30407529, 24214965, 28981707, 28981707, 28981707, 28981707, 23203987, 23203987, 23203987, 22067447, 22067447, 33290552, 33290552, 33290552, 33290552, 23245209, 33206959, 29145643, 26673716, 26673716, 25352543, 24259432, 27899622, 29533231, 29533231, 29533231, 29533231, 24150940, 23203883, 29161421, 33270111, 33270111, 24270792, 29121237, 31584097, 31584097, 23087376, 23087376, 26919060, 33952332, 31680154, 26481351, 26657633, 24265224, 24265224, 27899562, 27899562, 27899562, 24316576, 24316576, 24316576, 24163254, 24163254, 27899567, 30304474, 23203882, 30357350, 27794554, 24311564, 27899578, 27899578, 27903906, 27903906, 33180112, 33180112, 33180112, 27899635, 29140473, 29165655, 29165655, 29165655, 27789705, 30398643, 30398643, 26888907, 26888907, 30395331, 30395331, 30395331, 30395331, 22086950, 27450113, 27450113, 30395289, 30395289, 33125078, 30371878, 29761457, 29761457, 29112716, 30398656, 33166387, 30357387, 25883136, 25883136, 25883136, 25883136, 23193274, 26896847, 26896847, 25723102, 23161678, 23161678, 23161678, 23584835, 23584835, 26527722, 26527722, 24288371, 33106848, 33106848, 23125362, 33156333, 23180798, 21936816, 29155950, 29155950, 29155950, 29155950, 33170273, 33170273, 24157837, 30407521, 30407521, 30407521, 30407521, 30407521, 30407521, 26527717, 25348405, 31691826, 31691826, 31691826, 31691826, 31691826, 31691826, 31691826, 31722421, 31722421, 26578574, 33175160, 33175160, 33175160, 31598706, 31598706, 22086963, 22086963, 22086963"
"Department of Biotechnology, Govt. of India",2,2,2,"27164438, 27285615"
"Innovationsfonden",1,1,1,"33539279"
"Japan Agency for Medical Research and Development",13,10,10,"32026396, 33511845, 29532461, 33740463, 31640730, 33661371, 33179747, 33179747, 33179747, 33179747, 30462320, 33166387, 33156332"
"Japan Agency for Medical Research and Development (JP)",1,1,1,"32026396"
"CAPES",1,1,1,"25656309"
"CNPq",1,1,1,"25656309"
"FAPESP",3,2,2,"25656309, 33221926, 33221926"
"NLM NIH HHS",47,40,33,"27050421, 26519468, 23893318, 23893318, 23893318, 23893318, 23893318, 32392296, 33167031, 33211888, 22748121, 22110038, 26567549, 33137204, 31701147, 33166392, 22058127, 22146221, 22146221, 27907895, 26504143, 24406170, 21624156, 27733502, 29036590, 31680168, 23066107, 23066107, 26590254, 31598702, 23175606, 26612867, 34314492, 21447597, 26590405, 23203985, 33211869, 22102590, 33166387, 33106848, 23161681, 23161681, 29069413, 24253303, 33151290, 25348405, 26519399"
"Ministry of Education, Science and Technology",1,1,1,"22584068"
"European Commission FP7",32,19,18,"22080563, 22110040, 22110040, 22096229, 22096227, 22730453, 21472892, 22139920, 23180794, 22102589, 22102589, 22135296, 22135296, 22135296, 22753137, 21520333, 21702733, 21995777, 22096232, 22096232, 22121220, 22121220, 22121220, 22135291, 22135291, 22102590, 22102590, 22102590, 22086963, 22086963, 22086963, 22086963"
"Edward Via College of Osteopathic Medicine",1,1,1,"30329086"
"Indo-French Centre for the Promotion of Advanced Research",1,1,1,"33444113"
"Grand Equipement National de Calcul Intensif",1,1,1,"33444113"
"Division of Graduate Education",1,1,1,"33306801"
"Basic Energy Sciences",1,1,1,"33306801"
"NCI",3,2,2,"34903605, 34903605, 29092931"
"Cancer Center Support Grant",1,1,1,"34903605"
"SPORE in Breast Cancer",1,1,1,"34903605"
"University Grants Commission",4,4,4,"32360910, 27832200, 33136065, 29109711"
"Council of Scientific and Industrial Research, India",2,2,2,"32360910, 34107869"
"Italian Association for Cancer Research",4,2,2,"31598703, 31598703, 31665520, 31665520"
"National Science Fund for Distinguished Young Scholars",3,3,3,"33010176, 31584086, 31640808"
"Japan Society for the Promotion of Science",25,13,13,"22659240, 33196844, 28234924, 28234924, 33511845, 30046160, 29206899, 29206899, 23911837, 28481528, 33002111, 33002111, 30371824, 30371824, 30371824, 30371824, 30371824, 30371824, 29668970, 29668970, 29668970, 29668970, 30407557, 30407557, 29216398"
"Ministry of Education, Culture, Sports, Science and Technology",6,6,6,"22659240, 29532461, 33002111, 33179747, 33166387, 33156332"
"China Postdoctoral Science Foundation",44,30,30,"30329142, 34345532, 34345532, 29939204, 29939204, 29939204, 33471060, 33471060, 30289549, 30335161, 30335161, 30321400, 31584099, 31584099, 33264402, 33984507, 32858223, 30380109, 32820322, 32820322, 29788225, 31713618, 31713618, 28968812, 32990748, 32990748, 32159764, 32111231, 30445567, 32849839, 34273956, 32990749, 32990749, 33360695, 30913342, 33993461, 33993461, 33175170, 33175170, 33175170, 31599330, 31599330, 33306787, 33196801"
"National Program on Key Basic Research",4,4,4,"30329142, 30289549, 30476305, 30407549"
"National High Technology Research and Development Program of China",6,5,5,"30329142, 29939204, 30289549, 28575155, 28575155, 30252093"
"Higher Education in Heilongjiang Province",1,1,1,"30329142"
"Heilongjiang Postdoctoral Foundation",2,2,2,"30329142, 30289549"
"Harbin Medical University",9,9,9,"30329142, 30289549, 31665430, 30476305, 31617563, 33045741, 32047897, 33095866, 30407549"
"Indian Council of Medical Research",6,5,5,"27832200, 29109711, 29109711, 32345779, 25269378, 32380213"
"Open Source Drug Discovery",2,2,2,"27832200, 28759605"
"Austrian Science Fund FWF",7,6,6,"21718534, 24225386, 26590402, 26590402, 30357379, 21366916, 26586809"
"Shenzhen Basic Research Fund",1,1,1,"34345532"
"Fundamental Research Funds of the Central Universities",1,1,1,"34345532"
"Natural Science Foundation of Guangdong Province",5,5,5,"34345532, 29178828, 31524396, 30380102, 32761141"
"Strategic Priority CAS Project",1,1,1,"34345532"
"Sanming Project of Medicine",1,1,1,"34345532"
"Guangdong Project",1,1,1,"34345532"
"Guangdong Basic and Applied Basic Research Foundation, China",1,1,1,"34345532"
"Dongsheng Yu",1,1,1,"34345532"
"Sun Yat-sen University",1,1,1,"34345532"
"Support Scheme of Guangzhou for Leading Talents in Innovation and Entrepreneurship",1,1,1,"34345532"
"Wenliang Zhang",1,1,1,"34345532"
"Binghui Zeng",1,1,1,"34345532"
"Weizhong Li",1,1,1,"34345532"
"Ministerio de Ciencia, Innovación y Universidades",4,3,3,"33942873, 33655207, 33655207, 31647096"
"Spanish government",1,1,1,"33942873"
"Institut d’Estudis Catalans",1,1,1,"33942873"
"Stavros Niarchos Foundation",2,2,2,"34174131, 33080028"
"Danish Council for Independent Research–Technology and Production Sciences",1,1,1,"29509874"
"National Program on Key Basic Research Project",5,2,2,"29939204, 29939204, 29939204, 29617941, 29617941"
"Heilongjiang Province Youth Science and technology",2,1,1,"29939204, 29939204"
"Natural Science Foundation of Heilongjiang Province",9,8,8,"29939204, 28334239, 31665430, 31665430, 31713618, 30371817, 30184150, 32047897, 30380072"
"Weihan Yu Youth Science Fund Project of Harbin Medical University",1,1,1,"29939204"
"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",1,1,1,"26040787"
"Strategic Priority Research Program of the Chinese Academy of Sciences",4,3,3,"26040787, 30364969, 30364969, 30365027"
"Natural Science Foundation of Guangdong Province-Outstanding Youth Projec",1,1,1,"35134148"
"Basic & Applied Basic Research Programs of Guangdong province",1,1,1,"35134148"
"Basic &amp; Applied Basic Research Programs of Guangdong province",1,1,1,"35134148"
"Swedish Cancer Foundation",1,1,1,"30717315"
"Svenska Forskningsrådet Formas",1,1,1,"30717315"
"Dutch Science Foundation",1,1,1,"29020642"
"Dutch province of Limburg",1,1,1,"29020642"
"Indian Council of Agricultural Research",3,2,2,"29753807, 29753807, 28096778"
"National Institute of Mental Health",5,5,5,"32386544, 33599246, 26048622, 29370821, 33206959"
"CCR NIH HHS",5,5,5,"23893318, 33086069, 21491493, 27377064, 27587585"
"NCRR NIH HHS",54,30,28,"23893318, 23203874, 26946289, 23264352, 23264352, 23264352, 23264352, 23197658, 23197658, 23197658, 23197658, 23197658, 23197658, 21177656, 21177656, 21177656, 21177656, 22748121, 22748121, 23104379, 27504778, 27504778, 23504933, 22146221, 21880229, 21821666, 23674503, 23674503, 24227675, 25309735, 25309735, 25309735, 25309735, 25309735, 24223973, 26516187, 26516187, 22434841, 27053566, 27053566, 23550210, 25392405, 25348409, 22135298, 27924039, 21447597, 25501940, 25501940, 23203872, 23203872, 23203872, 24316576, 24316576, 22102590"
"Natural Science Foundation of Jiangsu Province",1,1,1,"29992323"
"Program for New Century Excellent Talents in University",2,2,2,"29992323, 32510565"
"Guangzhou science and technology project key project topic",1,1,1,"33471060"
"Basic and Applied Basic Research Fund of Guangdong Province",4,2,2,"33471060, 33471060, 32833025, 32833025"
"National Key Research and Development Project of China",2,2,2,"33471060, 33003203"
"Construction of Higher Education in Heilongjiang Province",1,1,1,"30289549"
"National Cancer Institute",29,23,23,"33086069, 30202990, 30202990, 30247654, 34127402, 34127402, 34127402, 34127402, 32986834, 31588509, 27152146, 21491493, 33442735, 29186335, 33245774, 25102069, 25102069, 32810235, 32358997, 21656910, 21656910, 34014674, 32027495, 33729437, 33206959, 33849445, 33151287, 33290554, 33237286"
"Natural Science Foundation of Zhejiang Province",2,2,2,"33147626, 33507270"
"National Youth Top-notch Talent Support Program",1,1,1,"33147626"
"Biotechnology and Biological Sciences Research Council, UK",4,1,1,"32754757, 32754757, 32754757, 32754757"
